File Name: not saved
Channel 1: 'EMG 1', 13049 values, raw ADC, no filters.
Channel 2: 'EMG 2', 13049 values, raw ADC, no filters.
Channel 3: 'EMG 3', 13049 values, raw ADC, no filters.
Channel 4: 'EMG 4', 13049 values, raw ADC, no filters.
Digitals combined (event=16, d=8, c=4, b=2, a=1): 13049 values, .

-6	-31	-302	22	31
62	-45	-379	20	31
86	89	-87	51	31
28	172	-166	182	31
1	131	66	123	31
69	146	45	62	31
39	142	135	65	31
-49	46	146	86	31
-32	37	-12	139	31
-112	36	-18	83	31
-179	51	-44	96	31
-87	21	68	56	31
-6	-36	175	50	31
7	-17	121	110	31
-6	-53	33	199	31
-10	-34	175	259	31
-39	-27	287	141	31
16	-69	275	63	31
1	-57	461	111	31
-7	-65	613	155	31
139	-33	257	-47	31
141	-3	-330	-499	31
159	-19	-900	-583	31
154	-27	-1287	55	31
-16	-7	-1217	276	31
-31	30	-381	-223	31
-55	24	608	34	31
-74	-7	540	64	31
78	-20	182	-38	31
67	-11	63	664	31
-200	9	-22	675	31
-169	39	-82	372	31
56	40	-95	-29	31
80	-1	84	-424	31
-54	-6	50	-304	31
-124	2	108	-294	31
254	-14	211	-338	31
353	-19	228	-280	31
-66	-2	269	-184	31
-221	21	134	-30	31
2	21	-442	-281	31
32	-6	-1008	-113	31
-169	-2	-39	713	31
-121	15	956	970	31
-6	22	855	434	31
27	6	641	199	31
-46	-52	51	170	31
-76	-124	-581	-417	31
74	-140	-883	512	31
62	-59	-543	687	31
-67	57	175	-568	31
-17	204	254	-177	31
87	264	209	-391	31
136	154	465	-350	31
124	71	492	-103	31
10	32	167	-363	31
-45	-7	-73	-263	31
7	-18	-337	-452	31
55	1	-653	-42	31
11	24	-202	67	31
24	-5	211	-204	31
12	-27	212	-104	31
-98	-34	189	172	31
-26	-62	-265	199	31
21	-47	-467	354	31
49	-20	-213	420	31
109	-12	-17	-36	31
137	-2	298	-119	31
147	-14	201	-167	31
25	-44	-29	-161	31
179	-59	59	-109	31
207	-57	4	-217	31
-87	-14	102	-117	31
-122	62	182	2	31
-176	66	124	-51	31
-127	21	79	-103	31
-69	24	37	-186	31
-79	26	35	-314	31
26	-23	42	-304	31
-29	-45	132	103	31
-147	-14	44	414	31
-136	-4	-419	62	31
117	12	-881	255	31
113	16	-450	801	31
-22	-1	490	444	31
29	6	1061	-523	31
50	-4	974	-913	31
195	-12	307	-683	31
-14	-26	-151	227	31
-108	-58	-545	1788	31
78	-82	-704	1396	31
-7	-90	-445	335	31
34	-65	-71	249	31
-66	46	81	-54	31
-214	96	46	-112	31
-211	13	200	-403	31
-166	9	162	-444	31
46	-24	-14	-307	31
2	-114	-230	-441	31
-47	-38	-525	-321	31
137	44	-460	-320	31
106	44	-2	-99	31
87	118	158	-19	31
102	172	349	205	31
49	138	735	444	31
92	185	832	31	31
117	192	1088	-417	31
41	27	848	-369	31
-171	-83	-434	201	31
-250	-96	-2316	724	31
-61	-92	-2655	896	31
31	-58	-691	199	31
-49	15	1064	-81	31
3	12	1674	269	31
96	-108	496	-430	31
-62	-116	-291	-610	31
13	-38	-147	-468	31
122	50	-322	-407	31
147	118	162	-79	31
182	53	262	-394	31
-3	2	285	-824	31
-7	14	285	-625	31
-80	3	269	-36	31
-17	7	269	-64	31
39	18	12	382	31
-81	47	-114	673	31
-52	37	-305	163	31
-151	0	-238	317	31
-120	-40	-154	482	31
-27	-99	-32	367	31
-26	-64	-5	32	31
45	-27	-12	-38	31
159	1	32	-67	31
99	29	-21	-54	31
11	57	79	332	31
112	61	27	211	31
231	-49	-34	-26	31
196	-58	20	-37	31
78	-59	74	-47	31
-14	-99	61	-61	31
-259	-51	27	-33	31
-161	-37	24	-26	31
150	6	58	19	31
-123	99	228	24	31
-160	121	307	-34	31
-24	95	156	31	31
-123	39	-122	92	31
22	-39	-447	46	31
44	-62	-513	-62	31
149	-33	-178	-71	31
136	49	-82	-90	31
-14	75	-82	-166	31
133	-16	-4	-135	31
82	-34	129	2	31
-35	-16	425	84	31
-72	-30	272	60	31
-32	-14	-194	-77	31
-44	-37	-558	-235	31
-169	-44	-264	-206	31
-159	-12	382	-4	31
-142	44	606	189	31
-41	94	304	221	31
-7	73	-289	197	31
71	64	-202	-24	31
36	49	-52	-72	31
-96	24	-103	111	31
69	0	-41	-22	31
76	-16	-180	-159	31
102	-13	-197	-134	31
142	-24	-94	20	31
51	-22	161	242	31
-96	-17	360	190	31
-279	-6	338	30	31
69	-2	188	66	31
245	-1	82	38	31
-122	34	34	32	31
-165	31	22	10	31
-41	9	53	-105	31
61	2	162	-204	31
-121	-17	333	-397	31
-175	-20	7	-496	31
126	-15	-274	-294	31
23	-6	-363	423	31
3	5	-815	933	31
111	-14	-597	488	31
186	-22	37	-35	31
169	-24	495	-357	31
102	-15	936	-449	31
122	-9	596	-73	31
47	-30	209	314	31
-12	-17	179	587	31
-191	7	-59	883	31
-128	32	-34	765	31
-70	70	-295	-172	31
-192	32	-486	-659	31
-325	-3	-215	-436	31
-277	19	-291	-372	31
34	9	-415	-371	31
111	2	-298	-309	31
206	-5	-95	-78	31
