File Name: not saved
Channel 1: 'EMG 1', 22502 values, raw ADC, no filters.
Channel 2: 'EMG 2', 22502 values, raw ADC, no filters.
Channel 3: 'EMG 3', 22502 values, raw ADC, no filters.
Channel 4: 'EMG 4', 22502 values, raw ADC, no filters.
Digitals combined (event=16, d=8, c=4, b=2, a=1): 22502 values, .

23	11	-121	-226	31
460	38	-91	-404	31
254	-107	-22	-155	31
149	-135	-144	74	31
57	116	-104	226	31
-19	300	-92	142	31
52	124	-107	233	31
24	-168	-34	209	31
61	-165	82	-27	31
-21	-19	124	-32	31
-33	19	83	-87	31
52	25	93	-80	31
41	-8	71	-59	31
59	8	82	-72	31
89	5	105	-61	31
82	-10	111	-74	31
-6	4	64	-48	31
-20	-46	12	-54	31
-24	-91	36	-89	31
-32	-4	24	-101	31
-21	195	32	-32	31
-57	125	9	46	31
-69	-54	-41	57	31
-79	-4	-59	27	31
-74	35	-13	9	31
-47	-6	70	20	31
-34	-45	112	9	31
5	-17	135	-32	31
45	11	78	-86	31
17	14	38	-50	31
52	46	9	24	31
78	35	-130	59	31
24	42	-193	47	31
63	37	-169	93	31
2	-29	-87	108	31
-71	-57	-35	-114	31
-12	-44	-37	-172	31
-64	-30	20	-132	31
-72	-11	87	-84	31
-76	6	147	141	31
-106	11	94	116	31
16	25	39	7	31
-43	21	12	-6	31
-119	11	-4	1	31
66	2	44	15	31
22	-21	6	-34	31
-28	-24	-27	-108	31
86	-12	9	-87	31
85	1	14	4	31
67	10	-44	-31	31
-2	1	-58	-13	31
63	-17	12	59	31
38	3	84	46	31
-12	36	126	22	31
44	36	100	49	31
-42	18	-65	130	31
-126	17	-104	227	31
-225	57	156	221	31
-133	68	234	-26	31
24	35	61	-226	31
9	24	-41	-147	31
59	-58	-162	-10	31
83	-172	-287	-119	31
57	-149	-344	-547	31
49	-94	-298	-447	31
50	-42	-108	187	31
112	4	34	141	31
104	-7	66	91	31
-12	-74	94	429	31
-81	-164	112	663	31
-51	20	102	489	31
-12	318	34	-45	31
0	361	-94	34	31
-7	234	-112	136	31
-7	107	-87	-141	31
-32	242	7	-250	31
-67	206	186	-199	31
-18	-259	232	-184	31
73	-459	242	-179	31
110	-268	208	15	31
70	-12	36	258	31
59	48	-128	165	31
63	-14	-202	-67	31
27	-43	-134	27	31
19	-67	-14	20	31
37	-34	131	-27	31
0	-10	218	-12	31
-46	3	297	89	31
-39	10	415	233	31
-86	10	239	162	31
-108	14	-89	157	31
-51	10	-380	31	31
24	25	-468	-232	31
31	10	-369	-299	31
-79	12	-267	-198	31
-27	29	-107	-193	31
107	51	-66	-149	31
16	76	36	-129	31
-36	57	103	-134	31
-27	43	19	39	31
-6	27	44	84	31
52	2	51	-21	31
-24	-29	131	-25	31
-69	-50	170	145	31
-137	-29	76	262	31
-104	-14	57	365	31
-44	-13	4	329	31
-55	10	-53	72	31
-26	31	-30	-301	31
-115	41	68	-510	31
-29	31	114	-278	31
136	1	48	-101	31
83	-16	16	-80	31
29	-11	-10	-109	31
67	7	-58	-261	31
86	-4	-65	-327	31
130	-9	37	-211	31
-19	12	181	-47	31
-112	26	199	72	31
44	43	119	331	31
-27	63	57	589	31
-181	112	19	683	31
-178	87	-91	590	31
-103	22	-159	50	31
-4	-26	-69	-183	31
115	-146	-29	-34	31
57	-194	-54	45	31
73	-100	-71	384	31
224	2	-107	469	31
252	17	-113	47	31
95	15	-1	-359	31
-19	31	83	-385	31
-22	-32	167	-229	31
-137	-143	275	-124	31
96	-54	123	-311	31
136	363	-71	-332	31
-39	579	-267	245	31
-2	320	-438	495	31
-69	41	-480	325	31
-33	-77	-307	149	31
-52	-289	-54	-85	31
-10	-362	-14	-111	31
59	-193	114	-104	31
71	-129	199	-49	31
37	-104	239	-2	31
-16	-27	222	-95	31
58	17	101	-102	31
135	12	112	-127	31
115	16	62	-90	31
3	-17	73	-49	31
62	-20	131	-18	31
1	8	109	-23	31
-11	-14	77	-26	31
67	1	2	5	31
-37	6	-26	-17	31
-26	16	-76	-26	31
-71	18	-60	-48	31
-145	14	62	19	31
-92	26	72	32	31
-69	14	56	-136	31
-61	6	81	-146	31
22	-14	102	56	31
35	5	111	242	31
7	57	147	184	31
26	51	179	54	31
24	26	194	82	31
38	34	161	151	31
4	24	12	213	31
-20	13	-137	-68	31
12	11	-383	-485	31
13	-3	-528	-663	31
-53	-37	-458	-337	31
-67	-56	-276	-2	31
-24	-9	-52	-162	31
-123	16	63	125	31
-130	39	157	437	31
74	57	80	242	31
122	34	-50	268	31
162	15	-1	381	31
97	-7	86	139	31
-112	4	86	236	31
13	27	37	381	31
29	41	31	70	31
-39	52	84	42	31
69	39	167	59	31
74	-17	254	56	31
20	-98	317	75	31
-96	-98	179	-146	31
-98	-36	-32	-372	31
-166	16	-227	-655	31
-162	30	-356	-760	31
58	32	-315	-493	31
113	35	-190	-58	31
56	1	-51	633	31
-229	202	-7	1124	31
-237	505	-7	533	31
97	356	-34	-62	31
165	-58	-26	-10	31
266	-365	42	-131	31
125	-436	61	-52	31
-86	-338	122	-10	31
164	-157	200	-34	31
66	-27	167	-7	31
-62	-22	66	-60	31
-29	14	35	-47	31
-51	7	58	-175	31
-16	13	-21	-224	31
-98	15	-137	-235	31
62	-57	-84	-212	31
35	-82	15	-29	31
-23	70	112	37	31
112	197	154	-9	31
87	41	67	37	31
86	-9	9	32	31
16	67	-42	67	31
43	81	-82	-18	31
-2	76	-146	-203	31
-51	27	-105	-181	31
-2	27	-37	-64	31
-88	12	-36	26	31
-71	-6	29	21	31
-102	-2	79	106	31
-99	-11	235	166	31
-63	14	254	149	31
-75	11	103	88	31
-39	12	54	-12	31
-21	22	-30	4	31
35	7	-66	152	31
29	7	-14	250	31
5	9	-11	77	31
83	4	-4	-134	31
192	4	-51	-116	31
87	22	-63	-36	31
-90	71	-72	-70	31
-56	94	-185	-127	31
0	62	-167	-124	31
5	15	-124	-15	31
-74	-67	-34	93	31
-107	-123	25	181	31
-46	-81	-23	204	31
-33	11	2	47	31
-58	103	-4	-109	31
-37	262	-50	-84	31
11	363	-88	-43	31
-26	133	10	-46	31
46	-121	71	29	31
92	-236	93	38	31
61	-335	133	2	31
66	-256	129	-98	31
74	-47	137	-199	31
71	10	67	-134	31
86	-116	117	70	31
113	-121	282	373	31
-11	-88	409	489	31
-87	-46	358	300	31
-99	0	204	181	31
-56	-106	18	90	31
-41	-75	-292	-27	31
-64	167	-475	-54	31
-1	297	-575	-134	31
17	101	-572	-44	31
26	-83	-335	-12	31
7	17	-72	-122	31
50	89	11	-112	31
70	63	29	-132	31
46	29	39	-159	31
63	-5	93	-141	31
3	9	106	-134	31
-52	-10	23	-102	31
-36	-67	59	-9	31
29	-60	41	22	31
-12	112	51	29	31
-99	207	95	98	31
-39	175	137	66	31
-62	267	184	-4	31
-87	383	117	31	31
52	436	142	18	31
27	195	257	37	31
51	-135	390	77	31
152	-384	301	137	31
29	-644	106	203	31
19	-588	19	151	31
42	-375	-179	-36	31
-11	-97	-330	-250	31
21	28	-373	-114	31
35	-9	-299	37	31
-40	29	-156	-319	31
-141	9	-144	-567	31
-118	45	-89	-132	31
-60	50	-43	106	31
-59	74	-126	-277	31
-112	96	-48	-130	31
